"sub_term","raw_term","category","group","domain"
NA,NA,"sugar","Composition_Nutrition","TraitGroup"
NA,NA,"sugar content","Composition_Nutrition","TraitGroup"
NA,NA,"Tannins","Composition_Nutrition","TraitGroup"
NA,NA,"Nutritional_Quality","Composition_Nutrition","TraitGroup"
NA,NA,NA,"End_Use_Quality","TraitGroup"
NA,NA,"Beverage_Quality","End_Use_Quality","TraitGroup"
NA,"Brewing_Quality","Beverage_Quality","End_Use_Quality","TraitGroup"
"Fermentability","Brewing_Quality","Beverage_Quality","End_Use_Quality","TraitGroup"
"wort","Brewing_Quality","Beverage_Quality","End_Use_Quality","TraitGroup"
NA,"Malting_quality","Beverage_Quality","End_Use_Quality","TraitGroup"
NA,NA,"Food_Quality","End_Use_Quality","TraitGroup"
NA,"Cooking_quality","Food_Quality","End_Use_Quality","TraitGroup"
NA,"Flour_Quality","Food_Quality","End_Use_Quality","TraitGroup"
NA,"Food_Yield","Food_Quality","End_Use_Quality","TraitGroup"
NA,"Porridge_stickiness","Food_Quality","End_Use_Quality","TraitGroup"
NA,"Baking_Quality","Food_Quality","End_Use_Quality","TraitGroup"
NA,NA,NA,"Grain Morphology","TraitGroup"
NA,NA,"Endosperm Texture","Grain Morphology","TraitGroup"
NA,NA,"Grain Color","Grain Morphology","TraitGroup"
NA,"Black","Grain Color","Grain Morphology","TraitGroup"
NA,"Brown","Grain Color","Grain Morphology","TraitGroup"
NA,"Cream","Grain Color","Grain Morphology","TraitGroup"
NA,"Dark","Grain Color","Grain Morphology","TraitGroup"
NA,"Gray","Grain Color","Grain Morphology","TraitGroup"
NA,"Maroon","Grain Color","Grain Morphology","TraitGroup"
NA,"Pink","Grain Color","Grain Morphology","TraitGroup"
NA,"Purple","Grain Color","Grain Morphology","TraitGroup"
NA,"Red","Grain Color","Grain Morphology","TraitGroup"
NA,"Tan","Grain Color","Grain Morphology","TraitGroup"
NA,"White","Grain Color","Grain Morphology","TraitGroup"
NA,"Yellow","Grain Color","Grain Morphology","TraitGroup"
NA,NA,"grain length","Grain Morphology","TraitGroup"
NA,NA,"Grain Shape","Grain Morphology","TraitGroup"
NA,NA,"Grain Size","Grain Morphology","TraitGroup"
NA,NA,"Hardness","Grain Morphology","TraitGroup"
NA,NA,"hilum","Grain Morphology","TraitGroup"
NA,NA,"morphology","Grain Morphology","TraitGroup"
NA,NA,"testa","Grain Morphology","TraitGroup"
NA,NA,"Texture","Grain Morphology","TraitGroup"
NA,NA,"Vitreousness","Grain Morphology","TraitGroup"
NA,NA,"weight","Grain Morphology","TraitGroup"
NA,NA,"flour_semolina_ratio","Grain Morphology","TraitGroup"
NA,NA,NA,"Postharvest_Handling","TraitGroup"
NA,NA,"Decortication","Postharvest_Handling","TraitGroup"
NA,NA,"Germination","Postharvest_Handling","TraitGroup"
NA,NA,"Grinding_ability","Postharvest_Handling","TraitGroup"
NA,NA,"Milling_Quality","Postharvest_Handling","TraitGroup"
NA,NA,"Shattering","Postharvest_Handling","TraitGroup"
NA,NA,"solubility","Postharvest_Handling","TraitGroup"
NA,NA,"Storability","Postharvest_Handling","TraitGroup"
NA,NA,"water holding capacity","Postharvest_Handling","TraitGroup"
NA,NA,"Cleaning_ability","Postharvest_Handling","TraitGroup"
NA,NA,"Processing_Quality","Postharvest_Handling","TraitGroup"
NA,NA,"flour_semolina_ratio","Postharvest_Handling","TraitGroup"
NA,NA,NA,"Sensory","TraitGroup"
NA,NA,"Aroma","Sensory","TraitGroup"
NA,NA,"Food Elasticity","Sensory","TraitGroup"
NA,NA,"Taste","Sensory","TraitGroup"
NA,"sweetness","Taste","Sensory","TraitGroup"
NA,NA,NA,"Brewer","ValueChainActor"
NA,NA,NA,"Chef_home cook","ValueChainActor"
NA,NA,NA,"Farmer_grower","ValueChainActor"
NA,NA,NA,"Processor_miller","ValueChainActor"
NA,NA,NA,"Producer","ValueChainActor"
NA,NA,NA,"Traders","ValueChainActor"
NA,NA,NA,"Consumer","ValueChainActor"
