"variable","standard"
"Preference","hard, conneous"
"Methods","Interview"
"Analysis","Matrix ranking"
"Publication Type","Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Zimbabwe"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","endosperm texture"
"Preference","hard, conneous"
"Methods","Survey/questionnaire"
"Analysis","Matrix ranking"
"Publication Type","Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Zimbabwe"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color/tannins"
"Preference","White"
"Methods","Interview"
"Analysis","Matrix ranking"
"Publication Type","Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Zimbabwe"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color/tannins"
"Preference","White"
"Methods","Survey/questionnaire"
"Analysis","Matrix ranking"
"Publication Type","Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Zimbabwe"
"Crop","Sorghum"
"VC Actor","home cook"
"Trait","decortication"
"Preference","easy"
"Methods","Hedonic scale"
"Analysis",NA
"Publication Type","Report"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Mali"
"Crop","Sorghum"
"VC Actor","home cook"
"Trait","decortication"
"Preference","easy"
"Methods","Sensory evaluation/taste testing"
"Analysis",NA
"Publication Type","Report"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Mali"
"Crop","Sorghum"
"VC Actor","home cook"
"Trait","decortication"
"Preference","easy"
"Methods","Cooking quality test"
"Analysis",NA
"Publication Type","Report"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Mali"
"Crop","Sorghum"
"VC Actor","home cook"
"Trait","Color"
"Preference","White, yellow, red, not black or purple"
"Methods","Hedonic scale"
"Analysis",NA
"Publication Type","Report"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Mali"
"Crop","Sorghum"
"VC Actor","home cook"
"Trait","Color"
"Preference","White, yellow, red, not black or purple"
"Methods","Sensory evaluation/taste testing"
"Analysis",NA
"Publication Type","Report"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Mali"
"Crop","Sorghum"
"VC Actor","home cook"
"Trait","Color"
"Preference","White, yellow, red, not black or purple"
"Methods","Cooking quality test"
"Analysis",NA
"Publication Type","Report"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Mali"
"Crop","Pearl Millet"
"VC Actor","Consumer"
"Trait","Color"
"Preference","darker"
"Methods","Ranking"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Consumer"
"Trait","Color"
"Preference","darker"
"Methods","Ranking"
"Analysis","Fischer's LSD"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Consumer"
"Trait","Color"
"Preference","darker"
"Methods","Ranking"
"Analysis","Friedman test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Consumer"
"Trait","Color"
"Preference","darker"
"Methods","Ranking"
"Analysis","rank sum multiple comparison test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Consumer"
"Trait","Color"
"Preference","darker"
"Methods","Hedonic scale"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Consumer"
"Trait","Color"
"Preference","darker"
"Methods","Hedonic scale"
"Analysis","Fischer's LSD"
